"date","close","volume","open","high","low"
"16:00","102.11","4,609,369","100.19","104.12","99.23"
"2019/01/17","102.1100","4628778.0000","100.1100","104.1200","99.2300"
"2019/01/16","99.9700","4703804.0000","102.0000","103.7500","97.5900"
"2019/01/15","100.4500","3453863.0000","98.5200","101.8251","97.3610"
"2019/01/14","97.7600","3685885.0000","95.1200","98.8000","94.0300"
"2019/01/11","96.8300","6435839.0000","96.0000","101.7000","95.6384"
"2019/01/10","96.2000","2221163.0000","94.8700","97.8500","93.5700"
"2019/01/09","96.4100","2534034.0000","97.5000","98.0600","94.7500"
"2019/01/08","97.6000","5501428.0000","98.6400","100.9500","92.5800"
"2019/01/07","96.9800","8578095.0000","91.3100","99.4000","91.2500"
"2019/01/04","88.5500","3715460.0000","84.2200","89.4000","83.2000"
"2019/01/03","81.2500","4783974.0000","85.0600","86.4800","80.1300"
"2019/01/02","86.9700","3798330.0000","87.4500","88.9600","84.1000"
"2018/12/31","89.3000","4235631.0000","87.0800","91.1000","86.3700"
"2018/12/28","86.0200","4090717.0000","88.0000","88.1000","83.7301"
"2018/12/27","87.3800","4071722.0000","83.8300","87.9100","81.1500"
"2018/12/26","85.3900","5363454.0000","76.5700","85.6000","76.5700"
"2018/12/24","75.5900","1736856.0000","74.0000","77.5700","73.1500"
"2018/12/21","76.1500","5178339.0000","80.2900","81.0000","75.0900"
"2018/12/20","80.4800","7143585.0000","84.4900","86.6500","76.0200"
"2018/12/19","85.7000","4196330.0000","85.6100","89.9100","84.0500"
"2018/12/18","85.2900","5921235.0000","89.2400","89.8179","82.7900"
"2018/12/17","87.4500","4527257.0000","90.5500","91.1900","86.7100"
"2018/12/14","91.6200","5061496.0000","93.7300","95.0300","90.7000"
"2018/12/13","95.9700","3776447.0000","97.1500","98.9000","93.0200"
"2018/12/12","96.6700","7778783.0000","94.4900","100.4700","93.6591"
"2018/12/11","92.7200","3171188.0000","94.0900","94.2427","90.9201"
"2018/12/10","91.8400","3894484.0000","88.2600","92.2500","87.7200"
"2018/12/07","89.3300","4398178.0000","95.2600","96.3706","87.7600"
"2018/12/06","96.1900","6154676.0000","87.2500","96.4500","85.6814"
"2018/12/04","89.7000","5550989.0000","93.7800","96.7800","89.3600"
"2018/12/03","95.6200","5701405.0000","97.3200","97.5500","92.5917"
"2018/11/30","94.4900","3980807.0000","92.4400","94.9300","91.9600"
"2018/11/29","92.4800","4328624.0000","90.6000","93.5400","90.3600"
"2018/11/28","91.8100","6633485.0000","89.0000","92.1900","85.6100"
"2018/11/27","86.5200","4669259.0000","86.2400","87.2000","84.5000"
"2018/11/26","87.4100","7050477.0000","82.2700","88.8800","82.1900"
"2018/11/23","80.6200","2582689.0000","75.5000","81.4100","75.0614"
"2018/11/21","76.9600","3925689.0000","78.5000","78.7100","75.3400"
"2018/11/20","75.8900","5953286.0000","71.6100","78.6400","71.5550"
"2018/11/19","76.9000","9189586.0000","89.0000","90.0000","76.3400"
"2018/11/16","89.1700","3826513.0000","87.9800","90.4300","87.0101"
"2018/11/15","89.7800","7363486.0000","82.5400","91.6700","82.2200"
"2018/11/14","83.9600","4505546.0000","86.7300","87.4500","82.6000"
"2018/11/13","85.1000","4620495.0000","84.1300","87.7899","83.6900"
"2018/11/12","83.3400","9709742.0000","91.6600","92.0800","81.7800"
"2018/11/09","92.2300","8336677.0000","90.5000","95.8900","89.8700"
"2018/11/08","91.9500","9751178.0000","94.6500","98.8900","91.6600"
"2018/11/07","96.1900","25248470.0000","82.2500","96.9700","80.7000"
"2018/11/06","71.0200","5522469.0000","72.4700","74.5670","69.9600"
"2018/11/05","71.7700","3425934.0000","74.3200","74.3200","70.1800"
"2018/11/02","74.3200","2455557.0000","76.4900","77.9500","73.3200"
"2018/11/01","76.6300","3069970.0000","75.2900","76.9000","73.2501"
"2018/10/31","75.2200","4859612.0000","72.3700","76.1500","71.6700"
"2018/10/30","69.8400","3880622.0000","65.0900","70.1400","64.1900"
"2018/10/29","65.9800","3362955.0000","67.3800","68.7100","64.6000"
"2018/10/26","65.8500","2865637.0000","64.5000","66.8200","62.4300"
"2018/10/25","67.3500","3491224.0000","64.5000","67.7500","64.3259"
"2018/10/24","63.9800","3183083.0000","70.2000","70.5300","63.9000"
"2018/10/23","69.6800","2911219.0000","66.9900","70.0000","66.7560"
"2018/10/22","69.2300","3481178.0000","67.7600","69.8800","65.6542"
"2018/10/19","66.4100","4906901.0000","72.6100","73.7100","66.3300"
"2018/10/18","71.7300","3996205.0000","72.6100","73.5100","69.8100"
"2018/10/17","74.0100","5733538.0000","76.0200","76.5800","71.3200"
"2018/10/16","75.9200","21858220.0000","70.9500","76.2400","66.7400"
"2018/10/15","76.1300","3088943.0000","74.6300","77.1400","73.0000"
"2018/10/12","75.0000","3634055.0000","76.0200","76.5000","72.3700"
"2018/10/11","69.2900","4753411.0000","67.3500","72.9900","67.0800"
"2018/10/10","68.0200","4588486.0000","73.6500","74.2100","67.6956"
"2018/10/09","74.3300","2924840.0000","74.6900","76.8500","73.8170"
"2018/10/08","74.0900","2973176.0000","75.5200","75.8900","71.4600"
"2018/10/05","76.6200","2515713.0000","78.1500","79.9900","74.6000"
"2018/10/04","78.0900","2457442.0000","80.1600","80.4950","76.0925"
"2018/10/03","80.9000","2026731.0000","80.3500","81.8200","79.6300"
"2018/10/02","79.5700","2842606.0000","83.0000","83.6300","78.5900"
"2018/10/01","83.7500","2150663.0000","87.0000","87.5500","83.1977"
"2018/09/28","86.2800","1843780.0000","85.5000","87.8700","85.5000"
"2018/09/27","85.7200","1210966.0000","85.0100","86.8600","84.8000"
"2018/09/26","84.7900","1800314.0000","88.0900","88.8800","84.5500"
"2018/09/25","87.7000","2655891.0000","83.8700","87.9700","83.6800"
"2018/09/24","83.3600","1808236.0000","82.3500","84.3900","80.7700"
"2018/09/21","83.7300","1460641.0000","85.3100","86.2385","83.2700"
"2018/09/20","84.8300","2203414.0000","83.3000","85.1599","81.1800"
"2018/09/19","82.8700","1855900.0000","85.3100","86.4800","81.3000"
"2018/09/18","85.3800","2159274.0000","84.3500","86.8000","84.3200"
"2018/09/17","84.4100","2229897.0000","87.0100","87.2399","83.0100"
"2018/09/14","87.2800","1785172.0000","85.7700","87.5000","85.5801"
"2018/09/13","85.3100","2311479.0000","85.2200","86.8204","84.0000"
"2018/09/12","85.0100","2234241.0000","85.9000","86.2116","81.5000"
"2018/09/11","85.2900","2296921.0000","83.8100","87.2200","83.5110"
"2018/09/10","84.3100","1595272.0000","82.5100","84.6799","81.7300"
"2018/09/07","82.3200","1815765.0000","80.0000","84.8300","79.7100"
"2018/09/06","80.5000","2015679.0000","82.0000","82.4899","78.9200"
"2018/09/05","81.7100","3693070.0000","86.7100","86.9000","79.6800"
"2018/09/04","87.1100","3703938.0000","82.2700","87.9100","81.0401"
"2018/08/31","80.6600","927068.0000","79.5100","81.1999","79.5100"
"2018/08/30","79.9900","1237149.0000","80.8000","81.5600","79.6700"
"2018/08/29","80.9900","1090695.0000","80.1700","81.7300","79.8900"
"2018/08/28","80.2200","1558673.0000","80.8000","81.5400","79.8200"
"2018/08/27","80.3100","2372686.0000","81.5000","81.9800","79.8382"
"2018/08/24","81.1600","2741001.0000","81.7800","82.7800","80.1400"
"2018/08/23","80.5500","4339429.0000","77.1300","81.4300","76.6650"
"2018/08/22","76.4400","1697330.0000","75.8900","76.6900","75.2100"
"2018/08/21","75.7900","2039234.0000","78.0000","78.0000","75.5000"
"2018/08/20","78.0500","2063127.0000","77.6000","78.9400","76.6300"
"2018/08/17","77.4900","1624782.0000","75.7000","77.6500","74.5200"
"2018/08/16","75.7000","1658203.0000","75.9300","76.7300","75.2880"
"2018/08/15","74.6300","2331833.0000","73.1400","75.8799","73.1100"
"2018/08/14","76.7500","2774724.0000","74.8500","76.9900","74.1000"
"2018/08/13","74.1700","3174907.0000","77.4000","78.0899","73.7600"
"2018/08/10","77.4900","1954150.0000","77.0700","79.4700","76.6000"
"2018/08/09","77.9200","3919035.0000","74.5000","79.2000","74.0000"
"2018/08/08","73.8700","3641907.0000","74.0600","76.9700","73.0808"
"2018/08/07","75.1000","12192670.0000","74.7500","77.3100","72.2400"
"2018/08/06","63.2700","3998501.0000","62.0500","63.5867","62.0100"
"2018/08/03","62.0000","2206274.0000","62.5000","62.8900","60.8000"
"2018/08/02","62.2500","2233055.0000","58.8800","62.4950","58.5100"
"2018/08/01","59.3000","2682192.0000","57.9000","59.4200","57.3100"
"2018/07/31","57.8900","2429914.0000","57.7800","58.6900","55.5800"
"2018/07/30","58.0000","2330548.0000","60.4100","60.9800","56.1300"
"2018/07/27","60.7100","1909372.0000","64.0800","64.8500","59.3400"
"2018/07/26","64.0300","1270998.0000","63.2000","64.4700","62.2300"
"2018/07/25","64.1400","873665.0000","62.0900","64.5156","61.7600"
"2018/07/24","62.0600","1917021.0000","64.5000","64.7500","61.0600"
"2018/07/23","63.9100","1294541.0000","62.6600","64.1900","61.8801"
"2018/07/20","62.6600","721333.0000","62.9400","63.2400","62.2000"
"2018/07/19","62.8800","1203489.0000","64.0000","64.2000","62.6200"
"2018/07/18","63.9600","1905828.0000","65.0000","65.3700","63.4400"
"2018/07/17","65.0000","4036908.0000","60.5100","65.0100","60.3300"
"2018/07/16","61.1400","1085923.0000","61.1200","61.7800","60.8000"
"2018/07/13","61.1400","1299277.0000","61.6000","62.3900","60.1100"
"2018/07/12","61.4000","1523317.0000","59.3200","61.6900","59.0300"
"2018/07/11","58.7300","915490.0000","58.5100","59.4150","58.2800"
"2018/07/10","58.6900","1058982.0000","59.3500","59.7700","58.2700"
"2018/07/09","58.7900","1324175.0000","59.4700","59.4700","57.3910"
"2018/07/06","58.4700","1021332.0000","56.8700","58.5800","56.4400"
"2018/07/05","57.0000","1990696.0000","56.6100","57.4700","56.4900"
"2018/07/03","56.1700","724798.0000","56.9300","57.2700","55.7300"
"2018/07/02","56.8500","1040291.0000","55.2500","56.8500","54.5007"
"2018/06/29","56.0200","1634465.0000","56.4300","56.8300","55.3600"
"2018/06/28","55.8400","2483545.0000","55.0000","56.1920","53.3700"
"2018/06/27","54.3000","2765819.0000","58.5000","59.9800","54.2200"
"2018/06/26","57.3000","2386991.0000","55.0000","57.3100","54.1600"
"2018/06/25","54.4700","2603740.0000","55.2500","56.1500","53.1700"
"2018/06/22","55.2500","8052047.0000","57.5300","57.5500","53.8900"
"2018/06/21","56.9600","3093573.0000","59.9000","59.9000","56.4000"
"2018/06/20","59.5200","2101917.0000","60.0300","61.1300","59.3500"
"2018/06/19","59.8000","3075538.0000","60.2700","61.2790","57.0800"
"2018/06/18","61.6100","3625413.0000","59.1200","62.3400","58.4000"
"2018/06/15","59.9500","1537826.0000","58.6100","60.0000","58.0400"
"2018/06/14","59.0000","2274405.0000","59.7400","60.2400","58.8200"
"2018/06/13","59.5600","1709194.0000","60.1600","60.3500","58.8800"
"2018/06/12","59.9700","1563500.0000","58.3400","60.1400","58.3400"
"2018/06/11","58.1200","1053379.0000","58.1900","58.5436","57.1700"
"2018/06/08","58.0600","1745520.0000","56.1500","58.2996","56.0300"
"2018/06/07","56.4000","2856689.0000","58.8600","59.0000","55.0910"
"2018/06/06","58.7200","1428029.0000","57.5500","58.7950","57.3500"
"2018/06/05","57.4800","2323743.0000","57.7600","58.4100","56.8600"
"2018/06/04","57.4700","1635817.0000","57.3800","57.6990","55.8300"
"2018/06/01","57.4800","3092543.0000","54.5500","57.7100","54.3450"
"2018/05/31","53.9700","1242497.0000","54.2100","55.0000","53.8100"
"2018/05/30","54.0300","1349883.0000","54.0000","54.3990","53.5500"
"2018/05/29","53.9700","1672042.0000","52.8900","54.4650","52.8500"
"2018/05/25","53.2500","1320962.0000","53.0300","53.5800","52.7900"
"2018/05/24","53.2200","2589949.0000","52.5000","53.3400","51.8200"
"2018/05/23","52.5400","2804140.0000","53.1600","53.2000","51.8800"
"2018/05/22","53.9300","1598681.0000","55.9000","55.9190","53.8600"
"2018/05/21","55.2400","3369662.0000","55.6800","56.6600","54.5501"
"2018/05/18","55.1400","2479088.0000","53.5700","55.7900","53.5700"
"2018/05/17","53.7300","1805931.0000","53.7500","54.4800","53.3400"
"2018/05/16","53.7200","2527991.0000","52.8800","54.4700","52.5800"
"2018/05/15","53.1300","5109409.0000","51.2900","53.4500","50.5696"
"2018/05/14","52.5200","5311939.0000","53.3900","55.9998","52.1800"
"2018/05/11","53.5800","3011702.0000","53.9400","54.9400","53.1300"
"2018/05/10","54.9100","4155756.0000","52.4400","55.2000","51.6600"
"2018/05/09","52.4100","9270117.0000","48.1500","53.5500","48.1500"
"2018/05/08","44.3500","3111264.0000","44.0500","44.6900","43.6400"
"2018/05/07","44.0900","2171028.0000","43.8200","44.5102","43.2500"
"2018/05/04","43.5000","1890609.0000","43.5000","44.6199","43.0000"
"2018/05/03","43.7100","1632239.0000","43.0000","43.8500","41.4302"
"2018/05/02","43.2200","3049210.0000","42.6400","44.7400","42.6400"
"2018/05/01","42.5500","1964299.0000","41.9300","42.9650","41.6801"
"2018/04/30","42.2100","2122797.0000","41.8100","42.3700","41.4100"
"2018/04/27","41.6500","1367801.0000","42.7400","42.8800","41.1300"
"2018/04/26","42.3900","1489295.0000","41.5200","42.6500","41.1200"
"2018/04/25","41.2800","1332909.0000","40.5400","41.3600","39.5900"
"2018/04/24","40.6200","1570568.0000","41.6600","41.9700","39.7350"
"2018/04/23","41.4000","965309.0000","41.4100","41.7992","40.8710"
"2018/04/20","41.2200","1668195.0000","41.8000","42.3900","41.0000"
"2018/04/19","42.1100","1791961.0000","42.2500","42.3100","41.6100"
"2018/04/18","42.3400","1878994.0000","41.4100","42.5050","40.9600"
"2018/04/17","41.1700","1635183.0000","39.8800","41.3535","39.8200"
"2018/04/16","39.5100","887342.0000","39.3600","39.7600","38.8200"
"2018/04/13","39.2100","1088531.0000","39.8800","40.1800","38.6500"
"2018/04/12","39.7000","1728607.0000","39.5000","39.7900","38.6500"
"2018/04/11","38.9700","1779693.0000","38.2400","40.1500","38.0000"
"2018/04/10","38.2100","1723334.0000","38.0000","38.8300","37.1250"
"2018/04/09","36.8700","1279539.0000","37.4800","38.3900","36.7800"
"2018/04/06","37.0400","1297434.0000","37.6300","38.3664","36.6800"
"2018/04/05","38.0900","1477128.0000","38.8000","39.0900","37.6600"
"2018/04/04","38.2900","1533022.0000","36.2400","38.4700","36.0700"
"2018/04/03","37.3200","1288274.0000","37.1300","37.5600","36.3300"
"2018/04/02","36.6500","1441130.0000","37.8500","38.5100","36.4500"
"2018/03/29","38.1800","1776417.0000","37.6400","38.6700","37.0100"
"2018/03/28","37.4300","3370583.0000","38.6100","38.9700","36.7600"
"2018/03/27","38.7300","2962074.0000","42.3700","42.5389","35.8900"
