Date,Close/Last,Volume,Open,High,Low
07/05/2019,$140.27,3430393,$138.43,$140.29,$134.745
07/03/2019,$139.21,2256752,$138.6,$140.99,$138.21
07/02/2019,$137.5,2786822,$137.73,$139.5,$136.5224
07/01/2019,$136.86,3075939,$138.32,$139.15,$135.265
06/28/2019,$136.35,4233398,$137.46,$138.78,$134.01
06/27/2019,$137.32,3462536,$133.96,$138.4,$133.4824
06/26/2019,$134.18,3558662,$137.18,$139.5008,$133.55
06/25/2019,$134.87,3556236,$138.51,$138.75,$133.6844
06/24/2019,$138.41,3782595,$144.53,$144.6999,$137.68
06/21/2019,$144,4127383,$145.15,$146.88,$142.75
06/20/2019,$146.66,3468724,$149.46,$151,$145.05
06/19/2019,$146.5,2734849,$142.65,$147.1,$140.71
06/18/2019,$142.29,3573514,$144.98,$145.49,$141.98
06/17/2019,$140.71,3357431,$140.66,$144.02,$139.2
06/14/2019,$140.17,2308799,$140.76,$141.28,$138.59
06/13/2019,$141.06,2317986,$143.09,$143.88,$139.96
06/12/2019,$143.09,2941386,$141.47,$144.34,$139.5
06/11/2019,$140.69,3848935,$145,$146.29,$138.03
